Source	Target
F1NR71	A0A8V0Z3K2
F1NR71	A0A8V0ZC55
F1NR71	F1NC02
F1NR71	R4GLB3
F1NR71	A0A8V0Y2X7
F1NR71	A0A8V1AF05
A0A8V0ZSC5	A0A1D5P263
A0A8V0ZSC5	A0A8V0ZE99
A0A8V0ZSC5	A0A8V0XR66
A0A1D5PIQ5	A0A1D5PD64
A0A1D5PIQ5	Q90694
A0A1D5PIQ5	A0A8V0YFT7
A0A1D5PIQ5	P62801
A0A1D5PIQ5	R4GKD1
A0A1D5PIQ5	E1BS97
A0A1D5PIQ5	A0A1D5NYE8
A0A1D5PIQ5	A0A8V0ZZC8
A0A1D5PIQ5	A0A8V0YFB1
A0A8V0YC52	A0A8V0YCL9
A0A8V0YC52	R4GGZ2
A0A8V0YC52	A0A8V1A4N7
A0A8V0YC52	A0A1D5NW93
A0A8V0YC52	A0A8V1AA37
A0A8V0YC52	A0A8V0YFF3
A0A8V0YC52	Q9YH14
A0A8V0YC52	A0A1D5PI06
A0A8V0YC52	A0A8V1AH40
A0A8V0YC52	A0A8V1AEY5
A0A8V0YC52	A0A8V0Y9V7
A0A8V0YC52	A0A8V0YZL1
A0A8V0YC52	A0A8V0Z7C7
A0A8V0YC52	A0A8V0XW68
A0A8V0YC52	A0A8V0Z863
A0A8V0YC52	A0A8V0ZVA2
A0A8V0YC52	A0A8V0XUY8
A0A8V0YC52	A0A1D5P179
A0A8V0YC52	A0A1D5PNM0
A0A8V0YC52	A0A8V0XCD2
A0A8V0YC52	A0A8V0Y6X8
A0A8V0YC52	F1NIL3
A0A8V0YC52	F1NEF6
A0A8V0YC52	A0A8V0ZPD6
A0A8V0YC52	A0A8V1A3B4
A0A8V0YC52	E1C658
A0A8V0YC52	A0A8V0ZRZ8
A0A8V0YC52	A0A8V0ZU95
A0A8V0YC52	A0A8V0Z382
A0A1L1RZ23	A0A8V0ZCQ2
A0A1L1RZ23	A0A8V0Z6L1
A0A8V0Y121	A0A8V0YYI8
A0A8V0Y121	A0A3Q2TSP8
A0A8V0Y121	A0A8V0YCP2
A0A8V0Y121	A0A8V1A7Y9
A0A8V0Y121	A0A8V0ZCS2
A0A8V0Y121	F1NAQ8
A0A8V0Y121	A0A8V0X5J4
A0A8V0Y121	A0A1D5P0D3
A0A8V0Y121	Q5F411
A0A8V0Y121	A0A8V0ZQK2
A0A8V0Y121	A0A8V0Z3U7
A0A8V0Y121	P50890
A0A8V0Y121	A0A8V1AAU9
A0A8V0Y121	A0A8V0YQC4
A0A8V0Y121	E1C2Z5
A0A8V0Y121	A0A8V0ZWY9
A0A8V0Y121	A0A8V0Y814
A0A8V0Y121	A0A8V0ZF10
A0A8V0Y121	A0A8V0YH08
A0A8V0Y121	A0A8V1A7D7
A0A8V0ZBK5	A0A8V0ZHK9
A0A8V0ZBK5	A0A8V0XI38
A0A8V0ZBK5	A0A8V0XZH4
A0A8V0ZBK5	A0A8V0Y986
A0A8V0ZBK5	A0A8V0Z193
A0A8V0ZBK5	A0A8V1ADP5
A0A8V0ZBK5	A0A8V0XKU5
A0A8V0ZBS5	A0A8V0XLP0
A0A8V1AJ29	A0A8V0Y9F8
Q90593	A0A8V0YFC7
Q90593	A0A8V0Z7B5
Q90593	A0A8V0XGH4
Q90593	A0A8V0ZMT8
Q90593	E1C599
Q90593	A0A8V0YQE8
Q90593	A0A8V0XA12
Q90593	Q5ZL72
Q90593	Q5ZHV6
Q90593	A0A8V0ZFW0
Q90593	A0A1L1RZR2
Q90593	A0A3Q2UGR5
Q90593	A0A1D5NYA8
Q90593	A0A8V0XTH6
Q90593	A0A8V0ZI24
Q90593	Q04619
Q90593	A0A8V0Y726
Q90593	A0A8V0ZCS2
Q90593	A0A1D5NTY5
Q90593	Q5ZIB0
Q5ZLA7	A0A8V1AAB0
Q5ZLA7	A0A8V0ZI24
Q5ZLA7	A0A8V0Y4P5
Q5ZLA7	A0A8V1A8C9
Q5ZLA7	A0A8V0ZHZ7
Q5ZLA7	A0A8V0ZZE1
A0A8V0ZZU2	A0A8V0XM02
A0A8V0ZZU2	A0A8V0Y7M8
A0A8V0ZZU2	A0A8V1ABN7
A0A8V0ZZU2	Q5ZJW4
A0A8V0ZZU2	A0A1D5PHU2
A0A8V0ZZU2	A0A1D5NYF8
A0A8V0ZZU2	A0A1D5NV75
A0A8V0ZZU2	A0A8V0XD01
A0A8V0ZZU2	A0A1D5PH43
A0A8V0ZIZ5	A0A8V0YGN2
A0A8V0ZIZ5	A0A8V0ZHZ7
A0A8V0ZIZ5	A0A8V0ZJE0
A0A8V0ZIZ5	A0A8V0Z0I1
A0A8V0ZIZ5	A0A8V0YPP2
A0A8V0ZIZ5	A0A1D5NT61
A0A8V0ZIZ5	A0A8V1A0M8
Q7ZT63	A0A8V0XIX2
Q7ZT63	A0A8V0YGG7
Q7ZT63	A0A1L1RP66
Q7ZT63	A0A8V0YQY8
Q7ZT63	A0A8V0XRD5
Q7ZT63	A0A1D5PJW4
Q7ZT63	A0A8V0ZH96
Q7ZT63	A0A8V0ZY42
Q7ZT63	A0A8V0ZNG4
Q7ZT63	A0A8V0ZNX9
Q7ZT63	A0A8V0ZNG1
Q7ZT63	A0A8V0ZEY1
Q7ZT63	A0A8V0Z4J0
Q7ZT63	A0A1D5NXL7
Q7ZT63	A0A8V1AF05
Q7ZT63	A0A8V0Z3K2
Q7ZT63	F1NC02
Q7ZT63	A0A8V0Y2X7
Q7ZT63	R4GLB3
Q7ZT63	Q5ZLI2
Q7ZT63	A0A8V1ABH8
A0A8V1AM51	A0A8V0XUU1
A0A8V1A081	A0A8V0YFT7
A0A8V0ZS72	A0A8V0ZTA0
A0A8V0ZS72	A0A8V0YBI3
A0A8V0ZS72	A0A8V0ZHE8
A0A8V0ZS72	A0A8V0Z0R7
A0A8V0ZS72	F1NZ86
A0A8V0ZCP8	A0A8V0Z4P8
A0A8V0X5U3	A0A1D5NU82
A0A8V0X5U3	A0A8V0YRF1
A0A8V1AQ96	A0A8V0YDH5
A0A8V1AQ96	Q9I8D6
A0A8V1AQ96	A0A8V0ZT48
A0A8V1AQ96	A0A8V0XGF5
A0A8V1AQ96	E1C6P7
A0A8V1AQ96	A0A8V1AF87
E1BZH7	Q5F411
E1BZH7	A0A8V0XXP1
E1BZH7	A0A8V1ADL7
E1BZH7	A0A1D5P420
E1BZH7	A0A8V1AHP0
A0A8V1ACY0	Q5ZMS3
A0A8V1ACY0	A0A8V0ZW50
A0A8V1ACY0	A0A8V0YV00
A0A8V1ACY0	A0A8V0ZC55
A0A8V1ACY0	A0A8V1A3Y5
A0A8V1ACY0	A0A8V0Y9L1
A0A8V1ACY0	A0A8V0ZBR5
A0A8V1ACY0	A0A1D5PNG3
A0A8V1ACY0	F1NCE1
A0A8V1ACY0	A0A8V0X4M9
A0A8V1ACY0	A0A8V0YZ41
A0A8V1ACY0	A0A8V0YKR2
A0A8V1ACY0	Q5ZHZ0
A0A8V1ACY0	A0A8V0YUW3
A0A8V1ACY0	F1NH93
A0A8V1ACY0	A0A8V0XK63
A0A8V1ACY0	A0A8V0ZCS2
P17790	A0A8V0XP02
A0A8V1A2W0	A0A8V0XDR8
A0A8V1A2W0	A0A8V0X4B2
A0A8V1A643	E1BRR9
A0A8V1A643	A0A8V0YDZ6
A0A8V1A643	A0A8V0X4Y4
A0A8V1A643	A0A8V0XEJ2
A0A8V1A643	A0A8V1ALE0
A0A8V1A643	A0A8V0X6J8
A0A8V0ZYM1	A0A3Q2U0G2
A0A8V0ZYM1	A0A1D5NZL7
A0A8V0ZYM1	A0A1D5P2W5
A0A8V0ZYM1	A0A8V1ACH5
A0A8V0ZYM1	A0A8V0X6S4
A0A8V0ZYM1	A0A8V0ZUI9
A0A8V0ZYM1	A0A1D5PLZ2
A0A8V0ZYM1	A0A3Q3ACS4
A0A1D5PLZ2	A0A8V0YUC6
A0A1D5PLZ2	A0A8V0YIZ9
A0A1D5PLZ2	A0A8V0XQ96
A0A1D5PLZ2	P14448
Q5ZIB0	A0A8V0XGH4
A0A8V1A4N7	A0A8V0Z7C7
A0A8V1A4N7	A0A8V0ZVA2
A0A8V1A4N7	A0A1D5PCU0
A0A8V1A4N7	A0A8V0XW68
A0A8V1A4N7	A0A1D5P0U8
A0A8V1A4N7	A0A8V1AEY5
A0A8V1A4N7	A0A8V0YBE2
A0A8V1A4N7	A0A8V0Y6X8
A0A8V1A4N7	A0A8V1A624
A0A8V1A4N7	A0A1D5PNM0
A0A8V1A4N7	A0A8V0Y9K6
A0A8V1A4N7	A0A1D5P179
A0A8V1A4N7	A0A8V0Z382
A0A8V1A4N7	A0A1D5P1U2
A0A8V1A4N7	A0A8V1A3B4
A0A8V1A4N7	E1C658
A0A8V1A4N7	A0A8V0ZRZ8
A0A8V1A4N7	A0A1D5PN54
A0A8V1A4N7	E1BVT3
A0A8V1A4N7	A0A1D5PI06
A0A8V1A4N7	Q9YH14
A0A8V1A4N7	Q5F3B9
A0A8V1A4N7	A0A1D5PBY3
A0A8V1A4N7	A0A8V0Z863
A0A8V1A4N7	A0A8V0YZL1
A0A8V1A4N7	A0A8V0Y9X9
A0A8V1A4N7	A0A8V0Y9V7
A0A8V1A4N7	A0A8V0XCD2
A0A8V1A4N7	A0A8V0ZI98
A0A8V1A4N7	A0A8V0ZC01
A0A8V1A4N7	A0A8V0ZPD6
A0A8V1A4N7	A0A8V0ZU95
A0A8V1A4N7	F1NIL3
A0A8V1A4N7	A0A8V1AH40
A0A8V1A4N7	A0A1D5NW93
A0A8V1A4N7	A0A8V0YFF3
A0A8V1A4N7	A0A8V1AA37
A0A8V1A4N7	A0A8V0YCL9
A0A3Q2TVY6	A0A8V0YZJ3
A0A3Q2TVY6	A0A8V0ZI47
A0A3Q2TVY6	A0A8V0ZRZ8
A0A1D5NZ82	A0A8V0ZCF7
A0A1D5NZ82	A0A8V0Y1A4
A0A1D5NZ82	A0A8V0ZRN1
A0A1D5NZ82	A0A8V0XMA2
A0A1D5NZ82	A0A8V0Z9B8
A0A1D5NZ82	A0A8V0XVV0
P13127	A0A8V0YTH3
P13127	P28497
P13127	A0A8V0Y2J9
P13127	A0A8V0Z794
P13127	P14315
P13127	A0A8V1AB68
P13127	A0A8V0YRF1
P13127	A0A8V1ABN7
P13127	A0A1D5PFB8
P13127	A0A8V1AD57
A0A1D5NYK3	A0A8V0XMJ6
A0A1D5NYK3	A0A8V0YYX3
A0A1D5NYK3	A0A8V0Y8S2
A0A1D5NYK3	A0A1D5PC99
A0A1D5NYK3	A0A8V0YB71
A0A1D5NYK3	A0A8V0X3M7
A0A1D5NYK3	A0A1D5PJW4
A0A1D5NYK3	A0A8V0Y9E4
A0A1D5NYK3	A0A8V0ZT56
A0A1D5NYK3	A0A8V0XIM8
A0A1D5NYK3	A0A8V0Y492
A0A1D5NYK3	A0A8V0ZAL2
A0A8V1AER6	A0A8V1ACN6
A0A8V1AER6	A0A8V1ADN6
A0A8V1AER6	A0A8V1A4X0
A0A8V1AER6	A0A8V0YNP1
A0A8V1AER6	A0A8V0X643
A0A8V0ZNX9	A0A8V1A3U0
A0A8V0ZNX9	A0A8V0ZNG4
A0A8V0ZNX9	A0A8V0ZY42
A0A8V0ZNX9	A0A1D5NXL7
A0A8V0ZNX9	A0A8V0Z4J0
A0A8V0ZNX9	A0A8V0ZEY1
A0A8V0ZNX9	A0A8V0ZNG1
A0A8V0ZNX9	A0A8V0YQY8
A0A8V0ZNX9	A0A1L1RP66
A0A8V0ZNX9	A0A8V1ACR8
A0A8V0ZNX9	A0A8V0X5J4
A0A8V0ZNX9	A0A8V0YGG7
A0A8V0ZNX9	A0A8V0XIX2
A0A8V0ZNX9	A0A8V0ZH96
A0A8V0ZNX9	A0A8V0XRD5
A0A8V0ZNX9	A0A1D5PJW4
A0A8V0ZNX9	Q5ZLI2
A0A8V0ZNX9	A0A8V1ABH8
A0A8V0ZNX9	A0A8V1AF05
A0A8V0ZNX9	F1NC02
A0A8V0ZNX9	A0A8V0Y2X7
A0A8V0ZNX9	R4GLB3
A0A8V0ZNX9	A0A8V0Z3K2
A0A8V0ZUI9	A0A8V0X852
A0A8V0ZUI9	A0A8V1ACH5
A0A8V0ZUI9	A0A1D5NZL7
A0A8V0ZUI9	A0A3Q2U0G2
A0A8V0ZUI9	A0A3Q3ACS4
A0A8V0ZGP2	A0A8V0X9X8
A0A8V0ZGP2	A0A8V0Y4V6
A0A8V0ZGP2	A0A8V0XP09
A0A8V0ZGP2	A0A1L1S0X5
A0A8V0ZGP2	P50890
A0A8V0ZGP2	A0A1D5PNG3
A0A8V0ZGP2	A0A8V1A9M2
A0A8V0ZGP2	A0A1D5PMT8
A0A8V0ZGP2	A0A8V0Z3K2
A0A8V0ZGP2	R4GGJ0
A0A8V0ZGP2	A0A1L1RX26
A0A8V0ZGP2	F1NQG5
A0A8V0ZGP2	A0A8V0ZF10
A0A8V0ZGP2	P84175
A0A8V0ZGP2	A0A8V0Y2X7
A0A8V0ZGP2	A0A8V0Y9Y9
A0A8V0ZGP2	A0A3Q3A7P6
A0A8V0ZGP2	Q98TH5
A0A8V0ZGP2	A0A8V0XRE7
A0A8V0ZGP2	P32429
A0A8V0ZGP2	A0A8V0Z891
A0A8V0ZGP2	P41125
A0A8V0ZGP2	A0A8V0Z4J0
A0A8V0ZGP2	F1NH93
A0A8V0ZGP2	A0A8V0ZL98
