KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04550 Signaling pathways regulating pluripotency of stem cells,6,25,491,1633,0.8,0.6612728138220388,0.18,A0A1D5NYE8 A0A1L1RPJ2 P08642 A0A1D5PIQ5 A0A8V0Z5C2 A0A8V0X5B9
map04610 Complement and coagulation cascades,15,43,491,1633,1.16,0.501821320821821,0.3,A0A8V0XKE8 A0A8V0YNC4 P81475 A0A8V0X8L8 A0A8V0ZY87 A0A8V1A184 A0A8V0YS27 P14448 A0A8V0YUC6 A0A8V0YCY1 A0A8V0YIZ9 A0A1D5PLZ2 P25155 A0A8V0ZKI9 A0A8V0XH43
map04611 Platelet activation,12,42,491,1633,0.95,1.0,-0.0,A0A8V0ZQN3 A0A8V0ZY87 A0A8V0YS27 A0A8V0XMT9 A0A8V0Z5C6 P14448 A0A8V0ZIN3 A0A8V0Y699 A0A1L1RM08 A0A1D5PIQ5 A0A8V0YIZ9 A0A8V0Z153
map04612 Antigen processing and presentation,7,23,491,1633,1.01,1.0,-0.0,A0A1D5PFJ6 A0A8V0YS93 A0A1D5PPF8 A0A1D5PUL6 F1NYJ1 A0A8V0Z8E9 A0A8V0XHF1
map04613 Neutrophil extracellular trap formation,20,48,491,1633,1.39,0.08020964479918345,1.1,A0A8V0X8L8 A0A8V0XGQ4 Q5ZMJ6 A0A8V0YXU7 P84229 A0A8V0ZHE8 A0A1D5P7C1 A0A8V0XHB9 A0A8V0YIZ9 A0A8V1AJ29 A0A3Q2UDI2 A0A8V0Z0Y0 A0A8V0YS27 A0A1L1RPJ2 Q5ZLG7 P14448 P62801 A0A8V0ZIN3 F1NUX4 A0A1D5PIQ5
map04614 Renin-angiotensin system,3,10,491,1633,1.0,1.0,-0.0,A0A8V0XTT7 A0A8V1A4H0 O57579
map04620 Toll-like receptor signaling pathway,4,17,491,1633,0.78,0.790867706532717,0.1,A0A1L1RPJ2 A0A1D5PIQ5 A0A1D5PD64 A0A8V0YFT7
map04621 NOD-like receptor signaling pathway,11,34,491,1633,1.08,0.8502231458764822,0.07,A0A8V0ZHE8 A0A3Q2UHM4 A0A1D5PUL6 A0A8V0YFT7 A0A8V0Z0Y0 A0A8V0Y9D6 A0A1D5P7C1 A0A8V1AHK4 A0A1D5PFR7 A0A1D5PIQ5 A0A8V0YXU7
map04622 RIG-I-like receptor signaling pathway,2,8,491,1633,0.83,1.0,-0.0,A0A1D5PIQ5 A0A3Q2U0S7
map04624 Toll and Imd signaling pathway,6,10,491,1633,2.0,0.07497111464404574,1.13,A0A1D5PD64 A0A8V0XNV9 A0A8V0YI20 A0A1D5PIQ5 A0A8V0Z687 A0A8V0XYK6
map04625 C-type lectin receptor signaling pathway,5,18,491,1633,0.92,1.0,-0.0,A0A8V0YFT7 A0A1D5P2H5 A0A1D5P7C1 P08642 A0A1D5PIQ5
map04630 JAK-STAT signaling pathway,3,23,491,1633,0.43,0.10606695019282186,0.97,F1NUX4 P08642 A0A8V0YFT7
map04640 Hematopoietic cell lineage,2,27,491,1633,0.25,0.009450730436875516,2.02,A0A8V0XHB9 O57579
map04650 Natural killer cell mediated cytotoxicity,4,30,491,1633,0.44,0.04497206492268997,1.35,A0A1L1RPJ2 P08642 A0A8V0Z0M2 A0A8V0XHB9
map04657 IL-17 signaling pathway,7,22,491,1633,1.06,0.8185277811205259,0.09,A0A1D5PUL6 A0A8V1A3Y0 A0A8V0YXL9 A0A1D5PPN9 A0A8V1AG73 A0A8V0ZZC5 A0A1D5PIQ5
map04658 Th1 and Th2 cell differentiation,2,10,491,1633,0.67,0.7323555849834044,0.14,A0A1D5PIQ5 A0A8V0YFT7
map04659 Th17 cell differentiation,4,18,491,1633,0.74,0.6088326190266661,0.22,F1NUX4 A0A1D5PIQ5 A0A1D5PUL6 A0A8V0YFT7
