KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04218 Cellular senescence,18,38,709,1633,1.09,0.623544069600924,0.21,A0A1D5PD64 A0A8V0ZHE8 A0A8V0ZQN3 A0A8V0Z0Y0 A0A1D5P2H5 A0A1L1RPJ2 P08642 Q5ZLG7 A0A8V0XAS9 Q5ZMJ6 A0A8V0XJ84 A0A8V0Z5C6 F1NUX4 A0A1D5PIQ5 A0A8V0YXU7 P00789 A0A8V0X8D5 A0A8V0Z687
map04260 Cardiac muscle contraction,16,23,709,1633,1.6,0.0177545228447656,1.75,A0A8V0ZU95 A0A8V0XW68 A0A3Q2UJ64 A0A8V1A3B4 A0A8V0ZC01 A0A8V1A472 A0A1L1RKB7 A0A8V0Z2Y8 A0A8V0XTC5 A0A8V0ZYC2 A0A8V0ZX92 A0A8V0X6I3 A0A8V0YCL9 A0A8V0ZX85 A0A8V0YZL1 P18944
map04261 Adrenergic signaling in cardiomyocytes,16,34,709,1633,1.08,0.7277440579741227,0.14,A0A8V0XB58 A0A8V0ZQN3 A0A8V0XTT7 Q5ZM47 A0A1D5P2H5 A0A8V1A472 A0A8V0ZY91 A0A1L1RKB7 A0A8V0XTC5 A0A8V0Z5C6 A0A8V0ZX92 A0A8V0ZYC2 A0A8V0ZX85 A0A8V1ABC9 A0A8V0X829 A0A1D5PIQ5
map04270 Vascular smooth muscle contraction,11,35,709,1633,0.72,0.16969198908889524,0.77,A0A1L1RLN6 A0A8V0ZQN3 A0A1D5PM19 A0A1D5P2H5 A0A1L1RPJ2 A0A8V1AHP5 A0A8V0Z5C6 A0A8V1ABC9 A0A8V0XTT7 A0A8V0XYR2 A0A8V0Z153
map04310 Wnt signaling pathway,10,32,709,1633,0.72,0.2072332989291079,0.68,A0A1D5NYE8 A0A8V0ZKI8 A0A8V1AG56 A0A8V0XB58 A0A8V1AE58 A0A1D5P770 A0A8V0YQ13 A0A8V1A9A7 A0A8V1ABC9 A0A8V0Z687
map04330 Notch signaling pathway,2,7,709,1633,0.66,0.7057474520468392,0.15,A0A1D5P770 O12971
map04340 Hedgehog signaling pathway,4,11,709,1633,0.84,0.7653001193259195,0.12,A0A8V0YVT3 A0A8V0Y999 Q98938 A0A8V0Z687
map04341 Hedgehog signaling pathway - fly,2,7,709,1633,0.66,0.7057474520468392,0.15,A0A8V0Z5C2 A0A8V0Z687
map04350 TGF-beta signaling pathway,12,27,709,1633,1.02,1.0,-0.0,A0A8V0ZKS6 Q5ZM47 A0A8V0YM05 A0A8V0YMM6 A0A1L1RX77 A0A8V0XPE8 A0A8V0YHH6 A0A8V0XJ84 A0A8V0ZHF5 A0A8V0Z5C2 A0A8V0ZRN1 A0A1D5P0D7
map04360 Axon guidance,22,65,709,1633,0.78,0.12586622967638403,0.9,A0A8V0Y0V1 A0A8V1AG56 A0A1D5NW03 A0A3Q3A4U3 A0A8V0Z8V4 A0A8V0ZDU4 A0A8V0ZKS6 A0A8V0XMT9 E1BS97 P08642 A0A3S5ZPV2 A0A8V1ACD6 A0A1L1RM08 A0A8V1A8M1 Q0PVE4 A0A8V0XB58 A0A8V0Z6R7 A0A8V1ABC9 A0A8V0ZB91 A0A8V0ZNY6 A0A8V0ZPH9 A0A8V0YRG2
map04361 Axon regeneration,4,19,709,1633,0.48,0.06128675521254419,1.21,F1NUX4 A0A1D5PIQ5 A0A1D5PBU5 A0A8V0ZZL0
map04370 VEGF signaling pathway,7,19,709,1633,0.85,0.6460443339902715,0.19,A0A1L1RPJ2 P08642 Q00649 A0A8V1ABC9 A0A8V0Z4M1 A0A1D5PIQ5 A0A1D5P1F1
map04371 Apelin signaling pathway,13,42,709,1633,0.71,0.1151022005194375,0.94,A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A8V0XS64 E1BW98 A0A8V0X354 A0A1D5PFR7 A0A8V0YMS7 F1NUX4 A0A1D5P1F1 F1NLV4 A0A8V0Z153 A0A8V0Z1Z1
map04380 Osteoclast differentiation,5,18,709,1633,0.64,0.2335504899394892,0.63,A0A8V0YFT7 A0A3Q2U211 A0A1L1RPJ2 A0A1D5PIQ5 A0A8V0ZEJ3
map04390 Hippo signaling pathway,21,42,709,1633,1.15,0.43147534646114394,0.37,A0A8V1AG56 Q5ZM47 A0A1D5PA08 A0A8V0Z687 A0A8V0XWR2 Q5ZLQ6 A0A8V0Z5C6 A0A8V0Z5C2 A0A1D5P0D7 Q0PVE4 A0A8V0YJ41 A0A8V0XKF3 A0A8V1AHK4 A0A8V0XJ84 A0A8V0YMS7 A0A8V0WZJ7 A0A1D5NYE8 A0A1D5P9D0 A0A8V0ZQN3 A0A8V0XTR4 A0A8V0ZIN3
map04391 Hippo signaling pathway - fly,12,20,709,1633,1.38,0.17277333881174073,0.76,A0A1D5P9D0 Q0PVE4 S4VGQ1 Q5ZM47 Q5ZLQ6 A0A8V0YJ41 A0A8V0XK73 A0A8V0XKF3 A0A8V1AHK4 A0A8V0ZIN3 A0A8V0WZJ7 A0A1D5PA08
map04392 Hippo signaling pathway - multiple species,3,5,709,1633,1.38,0.658008669139013,0.18,A0A1D5PA08 A0A1D5P9D0 A0A8V0WZJ7
map04510 Focal adhesion,32,77,709,1633,0.96,0.8140314818008437,0.09,A0A8V0XCT3 A0A8V1A2W0 A0A8V0ZD41 A0A8V0ZHF5 A0A8V1AAN6 P02460 A0A8V0X8P6 A0A8V0XMT9 E1BS97 P08642 A0A8V0XCW4 A0A8V0Z5C6 A0A8V0YRF2 A0A1L1RM08 A0A8V1AAH7 A0A8V0Y5A6 A0A8V0ZTP1 Q5ZJ58 A0A8V0Y699 A0A8V1ABC9 A0A1D5NYG3 Q9I946 A0A1D5NYE8 A0A3Q2TU24 A0A8V0ZQN3 A0A8V0Y413 A0A8V0YW34 A0A1L1RPJ2 A0A8V0YDD6 A0A8V0ZIN3 A0A8V0Z4M1 A0A8V0Z153
map04512 ECM-receptor interaction,14,49,709,1633,0.66,0.03977733233382985,1.4,A0A8V0X8P6 A0A8V0XCT3 A0A8V1A2W0 A0A8V0ZTP1 A0A8V0Y413 A0A8V0XMT9 A0A8V0XCW4 A0A452J7Z2 A0A8V0YDD6 A0A8V0YXG4 A0A8V0XRN3 A0A8V0ZHF5 A0A8V1AAN6 P02460
map04514 Cell adhesion molecules,12,34,709,1633,0.81,0.38461372673111255,0.41,A0A1D5PZV7 A0A8V0ZKS6 A0A8V0ZI29 A0A3Q2UGW3 A0A8V0XRC4 A0A1D5NW03 A0A8V0Y4R7 A0A8V0XMT9 A0A452J7Z2 A0A8V1AH61 A0A8V0X8D5 A0A8V1A3I2
map04520 Adherens junction,11,30,709,1633,0.84,0.5777738164509141,0.24,A0A1D5NYE8 H9L0D7 A0A8V0Y5A6 A0A8V0ZI29 A0A3Q2U1A5 A0A8V0XWR2 A0A8V0ZD41 A0A1D5P9Z1 A0A1D5PIZ8 A0A8V0XTR4 A0A8V0ZIN3
map04530 Tight junction,22,55,709,1633,0.92,0.6787604174224802,0.17,A0A1D5PZV7 Q5ZM47 Q90WD0 A0A8V0ZD41 P09644 A0A1D5PPF8 F1NWX0 Q5ZMV5 A0A8V0XMT9 A0A1L1RM08 A0A8V1A3U0 A0A8V0Y5A6 Q0PVE4 A0A1L1RLN6 A0A1D5PM19 A0A8V0WZJ7 A0A8V0ZQ95 P53488 A0A8V1AHP5 A0A8V1AH61 A0A8V1AJV5 A0A8V0ZIN3
