Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00227 Proteasome subunit,11,15,881,2004,1.67,0.03338832780994179,1.48,Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63
PF00229 TNF(Tumour Necrosis Factor) family ,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V0Z0M2 A0A8V1AAN2 A0A8V0Z3C0
PF00240 Ubiquitin family,3,8,881,2004,0.85,1.0,-0.0,A0A8V1A4X0 A0A8V0Z4J0 A0A8V0XK64
PF00248 Aldo/keto reductase family,3,6,881,2004,1.14,1.0,-0.0,A0A8V0YKA1 A0A8V0YJV4 A0A8V1AAP7
PF00254 FKBP-type peptidyl-prolyl cis-trans isomerase,2,5,881,2004,0.91,1.0,-0.0,A0A8V1AII9 A0A3Q2U9P1
PF00258 Flavodoxin,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0X354 A0A8V1AE54
PF00270 DEAD/DEAH box helicase,8,13,881,2004,1.4,0.2638289642315742,0.58,Q5ZLB0 A0A8V0X895 A0A8V0YZ41 Q5ZHZ0 Q5ZKB9 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7
PF00271 Helicase conserved C-terminal domain,8,15,881,2004,1.21,0.603148934675442,0.22,Q5ZLB0 A0A8V0X895 A0A8V0YZ41 Q5ZHZ0 Q5ZKB9 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7
PF00273 Serum albumin family,3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0XJ14 A0A8V0XCT6 A0A1D5NW68
PF00307 Calponin homology (CH) domain,10,24,881,2004,0.95,1.0,-0.0,A0A1L1RWF6 A0A8V0Y5A6 A0A3Q2UGG0 A0A8V0ZD41 A0A8V0YWS4 A0A1D5P797 A0A1D5PIZ8 A0A8V1ALH2 A0A1D5NYG3 A0A8V0YVI8
PF00334 Nucleoside diphosphate kinase,2,4,881,2004,1.14,1.0,-0.0,A0A8V0XGF5 A0A8V0YTD8
PF00341 PDGF/VEGF domain,2,6,881,2004,0.76,0.7005508676723544,0.15,A0A8V0XD22 Q9I946
PF00350 Dynamin family,3,8,881,2004,0.85,1.0,-0.0,A0A8V0YNP1 A0A3Q2UHM4 F1NV47
PF00354 Pentaxin family,3,5,881,2004,1.36,0.6595001049354059,0.18,A0A8V0YFB1 A0A8V1AJ19 A0A8V1A9Y1
PF00364 Biotin-requiring enzyme,4,5,881,2004,1.82,0.17582512626980962,0.75,A0A8V0XHY2 A0A1D5PQV3 A0A8V0ZWH3 A0A8V1A102
PF00373 FERM central domain,4,9,881,2004,1.01,1.0,-0.0,A0A1D5NYK7 A0A8V0XPN3 A0A1D5P6Q1 A0A8V0Y699
PF00378 Enoyl-CoA hydratase/isomerase,4,6,881,2004,1.52,0.4143878743224162,0.38,A0A8V0YYX3 A0A8V0Y8S2 A0A8V0XN01 A0A8V0Y492
PF00386 C1q domain,4,6,881,2004,1.52,0.4143878743224162,0.38,A0A8V0Y0F3 A0A8V0YA97 A0A8V0X207 R4GKL8
PF00406 Adenylate kinase,3,8,881,2004,0.85,1.0,-0.0,A0A8V0Y9V8 A0A8V0YIE9 A0A8V1AJZ1
PF00412 LIM domain,2,9,881,2004,0.51,0.3137810377745185,0.5,A0A8V0YQA1 A0A8V0XJD2
PF00413 Matrixin,4,7,881,2004,1.3,0.7062460964134833,0.15,E1C9E0 A0A8V1AN12 Q90611 A0A8V0XP02
PF00431 CUB domain,6,17,881,2004,0.8,0.6252116478878491,0.2,A0A8V0ZUZ0 A0A8V0ZIX6 A0A8V0Y927 A0A1D5PIZ5 A0A8V0YKF2 Q9I946
PF00435 Spectrin repeat,6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V1A9H2 A0A8V0Y5A6 A0A8V0ZD41 A0A8V0YWS4 A0A1D5P797 A0A8V0YVI8
"PF00441 Acyl-CoA dehydrogenase, C-terminal domain",6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6
PF00458 WHEP-TRS domain,4,4,881,2004,2.27,0.03720935511996398,1.43,A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9
PF00530 Scavenger receptor cysteine-rich domain,3,6,881,2004,1.14,1.0,-0.0,A0A8V0XKE8 A0A8V0XR98 A0A8V0XEL0
PF00531 Death domain,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V1ABC8 A0A8V0XYK6 A0A8V0ZHP3
PF00536 SAM domain (Sterile alpha motif),2,4,881,2004,1.14,1.0,-0.0,A0A8V1A535 A0A8V0YWW2
PF00549 CoA-ligase,2,4,881,2004,1.14,1.0,-0.0,A0A8V0ZAK3 Q5F3B9
PF00564 PB1 domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0XJ04 Q0PVE4
PF00575 S1 RNA binding domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YZG8 A0A8V0ZCS2
"PF00587 tRNA synthetase class II core domain (G, H, P, S and T)",4,5,881,2004,1.82,0.17582512626980962,0.75,A0A3Q2TSP8 A0A8V0YQC4 A0A8V1A7D7 A0A8V1AAU9
PF00594 Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain,3,7,881,2004,0.97,1.0,-0.0,A0A8V0YVP9 A0A8V0YUC6 A0A8V0YID0
PF00595 PDZ domain,9,25,881,2004,0.82,0.5439884221416893,0.26,Q0PVE4 A0A8V0XJD2 A0A8V0X7P4 A0A8V0YXB1 A0A8V0Z585 A0A8V1AJV5 A0A8V0X354 A0A3Q2U4B8 A0A8V1APT7
PF00615 Regulator of G protein signaling domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0ZTS7 A0A8V0Y907
PF00620 RhoGAP domain,4,9,881,2004,1.01,1.0,-0.0,A0A8V0XYZ6 A0A3Q3ACS4 A0A8V0XIZ0 A0A8V0XYP6
PF00621 RhoGEF domain,2,6,881,2004,0.76,0.7005508676723544,0.15,A0A8V0ZJF4 A0A8V0YW34
PF00625 Guanylate kinase,2,7,881,2004,0.65,0.4759640184258756,0.32,A0A8V0XZH4 A0A3Q2U4B8
PF00626 Gelsolin repeat,3,9,881,2004,0.76,0.7393413462570226,0.13,A0A8V0X852 A0A8V0Z7B5 A0A3Q2UGR5
PF00627 UBA/TS-N domain,2,5,881,2004,0.91,1.0,-0.0,A0A8V0ZUX9 A0A8V0XK64
"PF00629 MAM domain, meprin/A5/mu",2,9,881,2004,0.51,0.3137810377745185,0.5,A0A8V0XRN3 A0A8V0Z888
PF00630 Filamin/ABP280 repeat,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YPH9 A0A1D5NYG3
PF00632 HECT-domain (ubiquitin-transferase),2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0ZZG2 A0A8V0X7N6
PF00640 Phosphotyrosine interaction domain (PTB/PID),3,5,881,2004,1.36,0.6595001049354059,0.18,A0A8V0YMC5 A0A8V0YBR8 A0A8V1A535
PF00651 BTB/POZ domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A1D5NTV7 A0A1D5P468
PF00652 Ricin-type beta-trefoil lectin domain,4,10,881,2004,0.91,1.0,-0.0,A0A8V0Y6W2 A0A8V1A2F4 A0A8V0XT35 A0A1D5PJE0
PF00667 FAD binding domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0X354 A0A8V1AE54
PF00684 DnaJ central domain,4,4,881,2004,2.27,0.03720935511996398,1.43,A0A8V0ZMT8 A0A8V0YQE8 A0A1D5NYA8 A0A1L1RZR2
PF00685 Sulfotransferase domain,2,8,881,2004,0.57,0.47833307778022616,0.32,A0A8V0YS46 F1NMA2
"PF00690 Cation transporter/ATPase, N-terminus",4,8,881,2004,1.14,0.7366364602003391,0.13,A0A8V0YFG2 A0A8V0ZX92 A0A8V0YFB8 A0A1L1RKB7
PF00694 Aconitase C-terminal domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YGM0 A0A1D5PQV0
PF00702 haloacid dehalogenase-like hydrolase,4,8,881,2004,1.14,0.7366364602003391,0.13,A0A8V0YFG2 A0A8V0ZX92 A0A8V0YFB8 A0A1L1RKB7
PF00735 Septin,2,6,881,2004,0.76,0.7005508676723544,0.15,A0A8V1AKZ9 A0A8V0Z7V7
"PF00749 tRNA synthetases class I (E and Q), catalytic domain",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A3Q2TSP8 A0A8V0ZF10
PF00754 F5/8 type C domain,3,9,881,2004,0.76,0.7393413462570226,0.13,A0A8V0Y927 A0A8V0YKF2 A0A8V0ZA46
PF00787 PX domain,5,11,881,2004,1.03,1.0,-0.0,F1P337 E1C4N7 A0A8V0ZEP8 A0A8V0XBS7 A0A1D5PC37
PF00788 Ras association (RalGDS/AF-6) domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0YZB6 A0A8V0ZYC3
