Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0YB71	5	Trifunctional enzyme subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=HADHB PE=1 SV=1	HADHB	Down	0.4749553391344435
A0A8V1A8Y2	5	Ectonucleoside triphosphate diphosphohydrolase 8 OS=Gallus gallus OX=9031 GN=ENTPD8 PE=3 SV=1	ENTPD8	Down	0.6127894361090344
A0A3Q2UAA1	5	DnaJ heat shock protein family (Hsp40) member B1 OS=Gallus gallus OX=9031 GN=DNAJB1 PE=4 SV=1	DNAJB1	Down	0.5005761308731969
A0A8V0Z6U6	5	ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain-containing protein OS=Gallus gallus OX=9031 PE=3 SV=1	--	Down	0.6559117672041882
A0A8V0YID0	5	Coagulation factor VII OS=Gallus gallus OX=9031 GN=F7 PE=1 SV=1	F7	Down	0.2063132928004887
A0A1D5PP57	5	Vacuolar proton pump subunit B OS=Gallus gallus OX=9031 GN=ATP6V1B2 PE=1 SV=2	ATP6V1B2	Down	0.4535537338978471
A0A8V0XUJ8	5	Relaxin family peptide receptor 1 OS=Gallus gallus OX=9031 GN=RXFP1 PE=4 SV=1	RXFP1	Up	2.1882005325595593
A0A8V1A0D3	5	Origin recognition complex subunit 1 OS=Gallus gallus OX=9031 GN=CC2D1A PE=1 SV=1	CC2D1A	Down	0.6643778665879893
A0A1D5PXI1	5	Multifunctional fusion protein OS=Gallus gallus OX=9031 GN=ALDH4A1 PE=1 SV=1	ALDH4A1	Up	1.5077016210398868
A0A8V0XZH4	5	Leucine rich repeats and guanylate kinase domain containing OS=Gallus gallus OX=9031 GN=LRGUK PE=4 SV=1	LRGUK	Up	1.707603232969819
Q5ZIP7	5	small monomeric GTPase OS=Gallus gallus OX=9031 GN=RAB5A PE=1 SV=1	RAB5A	Down	0.4795195228062494
A0A8V0Y1A4	5	ADAM metallopeptidase with thrombospondin type 1 motif 1 OS=Gallus gallus OX=9031 GN=ADAMTS1 PE=4 SV=1	ADAMTS1	Down	0.4161161310487881
A0A8V0XJW7	5	Dynactin subunit 1 OS=Gallus gallus OX=9031 GN=DCTN1 PE=3 SV=1	DCTN1	Down	0.18631519731674695
A0A8V0XMV0	5	Translocase of outer mitochondrial membrane 70 OS=Gallus gallus OX=9031 GN=TOMM70 PE=1 SV=1	TOMM70	Up	2.102981157723823
A0A8V0Z153	4	Myosin light chain kinase, smooth muscle OS=Gallus gallus OX=9031 GN=MYLK PE=3 SV=1	MYLK	Down	0.6273176745084241
A0A1D5PFR7	4	Microtubule associated protein 1 light chain 3 alpha OS=Gallus gallus OX=9031 GN=MAP1LC3A PE=1 SV=1	MAP1LC3A	Down	0.5085112497253073
A0A1D5P9Z1	4	Low molecular weight phosphotyrosine protein phosphatase OS=Gallus gallus OX=9031 GN=ACP1 PE=1 SV=1	ACP1	Down	0.4127669089622673
A0A8V1AH61	4	Occludin OS=Gallus gallus OX=9031 GN=OCLN PE=1 SV=1	OCLN	Down	0.394331727855155
A0A8V0ZZS6	4	Serpin family E member 2 OS=Gallus gallus OX=9031 GN=SERPINE2 PE=1 SV=1	SERPINE2	Down	0.659433664970963
A0A8V1A504	4	Serpin family E member 2 OS=Gallus gallus OX=9031 GN=SERPINE2 PE=1 SV=1	SERPINE2	Down	0.6226208444599249
A0A3S5ZPV2	4	ENAH actin regulator OS=Gallus gallus OX=9031 GN=ENAH PE=1 SV=1	ENAH	Down	0.5050444635282257
A0A8V0Y699	4	Talin 1 OS=Gallus gallus OX=9031 GN=TLN1 PE=1 SV=1	TLN1	Up	1.9899344617080792
A0A8V0ZCF7	4	ADAM metallopeptidase with thrombospondin type 1 motif 9 OS=Gallus gallus OX=9031 GN=ADAMTS9 PE=4 SV=1	ADAMTS9	Up	6.283667118489037
A0A8V1ACH5	4	Inositol polyphosphate-5-phosphatase E OS=Gallus gallus OX=9031 GN=INPP5E PE=4 SV=1	INPP5E	Up	1.5150842807961016
