KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00230 Purine metabolism,15,40,342,1633,1.79,0.016291285230789057,1.79,A0A1D5PSI2 A0A8V1AJZ1 A0A8V0XRZ6 A0A8V0XWG1 A0A8V0XAH5 A0A8V0XTM2 O57535 A0A8V0XC92 A0A8V0XGF5 A0A8V1A4P2 A0A8V1A8Y2 A0A1D5PL45 A0A8V0XY43 A0A8V1AC34 A0A8V0Z310
map00240 Pyrimidine metabolism,4,20,342,1633,0.95,1.0,-0.0,O57535 A0A8V0XGF5 A0A8V0XC92 A0A8V1A8Y2
"map00250 Alanine, aspartate and glutamate metabolism",2,14,342,1633,0.68,0.7468029019007406,0.13,A0A1D5PL45 A0A8V0ZJT8
"map00260 Glycine, serine and threonine metabolism",2,4,342,1633,2.39,0.19527214188895003,0.71,Q5ZLN1 A0A8V0X9K8
map00270 Cysteine and methionine metabolism,4,24,342,1633,0.8,0.8015318246635402,0.1,A0A8V0YPT3 E1BTT8 A0A8V0ZJT8 A0A1D5NY06
"map00280 Valine, leucine and isoleucine degradation",9,28,342,1633,1.53,0.1585506264808597,0.8,A0A8V0YB71 A0A8V1ABW1 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZTF7 A0A8V0XVT5 A0A8V0XE68 A0A8V0X9K8
map00310 Lysine degradation,7,16,342,1633,2.09,0.055852806483799367,1.25,A0A8V1ABW1 A0A8V0XH76 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00330 Arginine and proline metabolism,5,16,342,1633,1.49,0.3507625568255712,0.45,A0A8V1ABW1 A0A1D5NY06 A0A8V0ZJT8 A0A8V0X354 A0A8V0X9K8
map00340 Histidine metabolism,3,8,342,1633,1.79,0.3757223583361252,0.43,A0A8V0ZCN9 A0A8V1ABW1 A0A8V0X9K8
map00350 Tyrosine metabolism,2,8,342,1633,1.19,0.6763377972406219,0.17,A0A8V0ZCN9 A0A8V0ZJT8
map00360 Phenylalanine metabolism,2,5,342,1633,1.91,0.2820363000583712,0.55,A0A8V0ZCN9 A0A8V0ZJT8
map00380 Tryptophan metabolism,7,15,342,1633,2.23,0.02252189267677212,1.65,A0A8V1ABW1 A0A8V0XH76 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00410 beta-Alanine metabolism,5,13,342,1633,1.84,0.16184670627809197,0.79,A0A8V0ZCN9 A0A8V1ABW1 A0A8V0Y492 A0A8V0XVT5 A0A8V0X9K8
map00480 Glutathione metabolism,10,29,342,1633,1.65,0.1024367791449995,0.99,A0A8V0YU69 A0A8V0YZ27 A0A1D5NY06 A0A8V0ZPJ9 A0A8V0ZJE0 A0A8V0YEN4 A0A1D5NT70 A0A8V1A0C2 A0A8V0X7B2 A0A8V0XB81
map00500 Starch and sucrose metabolism,4,11,342,1633,1.74,0.2566937677405183,0.59,A0A8V1A4P2 A0A8V0ZLV3 A0A1L1RQ91 A0A8V0ZM20
map00512 Mucin type O-glycan biosynthesis,2,21,342,1633,0.45,0.2813954885444586,0.55,A0A8V0YE66 A0A8V1A758
map00520 Amino sugar and nucleotide sugar metabolism,5,23,342,1633,1.04,1.0,-0.0,A0A8V0YA67 A0A8V0ZM20 A0A8V1A4P2 A0A1L1RQ91 A0A8V0XUH8
map00561 Glycerolipid metabolism,5,15,342,1633,1.59,0.21744140043280777,0.66,A0A8V0YRQ5 A0A8V1ABW1 A0A8V0X9K8 E1BVD1 A0A8V0ZZL0
map00562 Inositol phosphate metabolism,4,18,342,1633,1.06,0.7784493534066808,0.11,A0A8V1A5Y9 A0A1D5NZL7 A0A8V0XVT5 A0A1D5PHE2
map00564 Glycerophospholipid metabolism,5,14,342,1633,1.71,0.18672565236126912,0.73,A0A1D5NTC1 F1NCA2 A0A8V0ZE99 A0A8V0X548 A0A8V0ZZL0
map00565 Ether lipid metabolism,4,13,342,1633,1.47,0.48989602009324706,0.31,A0A1D5NTC1 A0A8V0ZE99 A0A1D5PMU2 A0A8V0Y006
map00590 Arachidonic acid metabolism,6,17,342,1633,1.69,0.1428214261232929,0.85,A0A1D5NTC1 Q8QFM7 A0A8V0ZE99 A0A8V0YHY0 A0A1D5NW85 A0A8V0Y6Q3
map00591 Linoleic acid metabolism,2,6,342,1633,1.59,0.6113870696444553,0.21,A0A1D5NTC1 A0A8V0ZE99
map00592 alpha-Linolenic acid metabolism,2,5,342,1633,1.91,0.2820363000583712,0.55,A0A1D5NTC1 A0A8V0ZE99
map00620 Pyruvate metabolism,6,21,342,1633,1.36,0.4167056904445626,0.38,A0A8V0ZWH3 A0A8V1ABW1 E1BTT8 A0A8V0XH76 A0A8V0XE68 A0A8V0X9K8
map00630 Glyoxylate and dicarboxylate metabolism,3,11,342,1633,1.3,0.7081546103475014,0.15,A0A8V0YGM0 A0A8V0XE68 A0A8V0XH76
map00640 Propanoate metabolism,3,15,342,1633,0.95,1.0,-0.0,E1BTT8 A0A8V0XVT5 A0A8V0Y492
map00650 Butanoate metabolism,4,10,342,1633,1.91,0.2320918006305649,0.63,A0A8V0XIM8 A0A8V0XE68 A0A8V0XH76 A0A8V0Y492
map00730 Thiamine metabolism,5,7,342,1633,3.41,0.005666999849344143,2.25,A0A8V1AJZ1 A0A8V0XRZ6 A0A1D5P9Z1 A0A8V1AC34 A0A8V0Z310
map00760 Nicotinate and nicotinamide metabolism,2,8,342,1633,1.19,0.6763377972406219,0.17,A0A8V0XC92 A0A8V0Y5N7
map00790 Folate biosynthesis,4,9,342,1633,2.12,0.0980322553606315,1.01,A0A8V0YHY0 E1BVD1 A0A8V0YRQ5 Q5ZKQ2
map00900 Terpenoid backbone biosynthesis,2,6,342,1633,1.59,0.6113870696444553,0.21,A0A8V0XE68 A0A8V0XH76
map00920 Sulfur metabolism,3,9,342,1633,1.59,0.40665249106520923,0.39,A0A8V0YPT3 A0A8V0ZUQ1 A0A8V0XTM2
map00970 Aminoacyl-tRNA biosynthesis,5,19,342,1633,1.26,0.5712343368879516,0.24,F1NJU7 A0A8V0Y121 A0A8V0XY40 A0A8V1A7D7 E1C2Z5
map00980 Metabolism of xenobiotics by cytochrome P450,8,16,342,1633,2.39,0.009022042542734435,2.04,A0A8V0ZCN9 A0A8V0XM79 A0A8V0YHY0 A0A8V0ZJE0 A0A1D5NT70 A0A8V1A0C2 A0A8V0X7B2 A0A8V0XB81
map00982 Drug metabolism - cytochrome P450,6,14,342,1633,2.05,0.08956271022516302,1.05,A0A8V0ZCN9 A0A8V0ZJE0 A0A1D5NT70 A0A8V1A0C2 A0A8V0X7B2 A0A8V0XB81
map00983 Drug metabolism - other enzymes,8,22,342,1633,1.74,0.10741731216076746,0.97,A0A1D5PSI2 O57535 A0A8V0XGF5 A0A8V1AJ29 A0A8V0ZJE0 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81
map01040 Biosynthesis of unsaturated fatty acids,2,3,342,1633,3.18,0.11303466303463525,0.95,A0A8V0Z420 A0A8V0Z2X9
map01100 Metabolic pathways,109,502,342,1633,1.04,0.6446078162047773,0.19,A0A8V0YBC7 A0A1D5PMU2 A0A8V0Z2Y8 A0A8V0ZUQ1 A0A8V0X9K8 A0A8V0XM79 A0A8V0XAH5 Q5ZLN1 A0A8V1A4P2 A0A8V0Y8W7 A0A8V0ZJE0 A0A8V0YEN4 A0A8V0XB81 A0A8V0Y9V7 Q8QFM7 A0A8V1ABW1 A0A8V0Y006 A0A8V0Z382 A0A8V0Z0S2 A0A8V0XUH8 A0A8V0ZZL0 A0A1D5PSI2 A0A1D5NTC1 A0A1D5PGR9 A0A1D5PHE2 A0A8V0YGM0 A0A8V0XVT5 A0A8V1A0C2 A0A8V0YU69 A0A8V0Z2F8 A0A8V1AJZ1 A0A8V0YHY0 Q5ZKQ2 A0A1D5NY06 A0A8V0ZM20 A0A8V0Y9J8 A0A8V0ZJT8 A0A1D5PP57 A0A8V0Z863 A0A8V1AC34 A0A1D5NW93 A0A8V0ZWH3 A0A8V0YZ27 A0A8V0XGF5 A0A8V0X354 A0A8V0X7B2 A0A8V1A8Y2 A0A1D5NWL4 E1C3J7 A0A8V0YLT1 P18944 A0A8V0XE68 A0A8V0YB71 A0A8V0XMD4 A0A8V0Z310 A0A8V0Z6U6 A0A8V0Y492 A0A8V0YE66 A0A8V0XC92 A0A8V1AIR0 A0A8V1A840 A0A1D5NZL7 A0A8V0YA67 P00356 A0A1D5P9Z1 A0A8V0ZPJ9 A0A8V0YC52 F1NIL3 A0A8V0Y6Q3 A0A8V0ZCN9 A0A8V1A3B4 A0A8V0ZLV3 A0A8V0XWG1 A0A8V0Y9X9 F1NC58 A0A8V0ZE99 A0A8V0ZC01 Q9YH14 A0A8V0X6I8 A0A8V0ZI98 A0A3Q2UJ64 A0A8V0XH76 E1C658 A0A1D5NW85 A0A8V0XRZ6 A0A8V1A4N7 O57535 E1BVD1 A0A1D5PQV3 A0A1D5NT70 A0A8V0XY43 A0A8V0ZAL2 A0A8V0Y5N7 A0A8V0YPT3 A0A8V1A624 E1BTT8 A0A8V0ZTF7 A0A8V0Z420 A0A8V0X6I3 A0A1D5PL45 A0A8V0Z5I7 A0A1L1RQ91 A0A8V0YRQ5 A0A8V1A5Y9 A0A8V0XTM2 A0A8V0XIM8 A0A8V0Y6Z6 A0A8V1A758 A0A8V1A102
map01200 Carbon metabolism,17,58,342,1633,1.4,0.137214612698593,0.86,A0A8V0ZWH3 A0A8V1AIR0 P00356 A0A8V0X6I8 A0A8V0YZ27 Q5ZLN1 A0A8V0ZM20 A0A8V0XH76 A0A8V0YGM0 A0A1D5PQV3 A0A8V0XVT5 A0A8V0ZJT8 A0A8V0ZPJ9 A0A8V0Z0S2 A0A8V0XE68 A0A1L1RQ91 A0A1D5NWL4
map01210 2-Oxocarboxylic acid metabolism,3,11,342,1633,1.3,0.7081546103475014,0.15,A0A8V0YGM0 A0A8V0ZJT8 A0A8V0ZPJ9
map01212 Fatty acid metabolism,7,21,342,1633,1.59,0.1761577499505772,0.75,A0A8V0ZAL2 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0Z420 A0A8V0XE68 A0A8V0YB71
map01230 Biosynthesis of amino acids,9,36,342,1633,1.19,0.5360784703484535,0.27,P00356 A0A8V0X6I8 Q5ZLN1 A0A8V0YGM0 A0A8V0ZJT8 A0A8V0ZPJ9 A0A8V0Z0S2 A0A8V1AIR0 A0A1D5NWL4
map01240 Biosynthesis of cofactors,8,40,342,1633,0.95,1.0,-0.0,A0A8V1ABW1 A0A8V1AJZ1 O57535 A0A8V0XGF5 F1NC58 A0A1D5PL45 A0A8V1AC34 A0A8V0Z310
map01250 Biosynthesis of nucleotide sugars,5,17,342,1633,1.4,0.373950029666827,0.43,A0A8V0YA67 A0A8V0ZM20 A0A8V1A4P2 A0A1L1RQ91 A0A8V0XUH8
map03008 Ribosome biogenesis in eukaryotes,3,10,342,1633,1.43,0.4453850696023942,0.35,A0A8V0Z083 P42558 A0A1D5P8H7
map03010 Ribosome,12,55,342,1633,1.04,0.8664359969594133,0.06,A0A8V0XRE7 F1NN16 A0A8V1A9M2 A0A1D5P3B1 A0A8V0XXX0 A0A8V0ZNA1 F1NQG5 F1NIX0 A0A1D5NVI1 E1BTG1 A0A8V0ZUX8 A0A8V0ZJP1
map03013 Nucleocytoplasmic transport,6,25,342,1633,1.15,0.6282807054007388,0.2,A0A8V0X1D0 A0A8V0YKT5 A0A8V0XKJ6 A0A8V0YZ41 P42558 A0A1D5P8H7
map03015 mRNA surveillance pathway,7,20,342,1633,1.67,0.16075012668137886,0.79,A0A8V0YD10 A0A1D5PYQ3 Q5ZM47 A0A8V0XKJ6 A0A8V0YZ41 A0A8V0ZBD1 A0A1L1RX26
map03018 RNA degradation,4,10,342,1633,1.91,0.2320918006305649,0.63,A0A8V0YD10 A0A8V0Z0S2 F1NZ86 Q5ZL72
map03040 Spliceosome,6,34,342,1633,0.84,0.8313798862912692,0.08,A0A8V0XKJ6 A0A8V0YZ41 A0A8V1AEL1 A0A8V1AFZ6 A0A3S5ZPN3 A0A8V0Z8E9
map03050 Proteasome,9,36,342,1633,1.19,0.5360784703484535,0.27,F1NU79 F1NC02 A0A8V1A582 A0A8V0ZNG1 A0A8V0ZNX9 A0A8V0Z0G8 A0A8V0ZNG4 Q7ZT63 A0A8V0XHF1
map03320 PPAR signaling pathway,3,16,342,1633,0.9,1.0,-0.0,A0A8V0XP02 A0A8V0ZAL2 A0A8V0Y2J1
map04010 MAPK signaling pathway,11,59,342,1633,0.89,0.7463310594157698,0.13,A0A8V0XL89 A0A1D5NTC1 A0A1D5P4S3 A0A8V0YYZ7 A0A8V1ABC8 E1BS97 P08642 A0A1L1RPJ2 A0A8V1A229 F1NJR9 A0A8V0Z8E9
map04012 ErbB signaling pathway,6,18,342,1633,1.59,0.23866969724348042,0.62,E1BS97 A0A3Q3ACS4 P08642 A0A1L1RPJ2 F1NUX4 F1NJR9
map04013 MAPK signaling pathway - fly,6,27,342,1633,1.06,0.8138451120961393,0.09,Q5ZM47 A0A8V0YJ41 A0A8V0X163 A0A8V0XLB9 A0A1L1RPJ2 A0A1D5P8H7
