Protein accession	Protein description	Gene name	Coverage [%]	Peptides	Razor + unique peptides	Unique peptides	Intensity G1	Intensity G2	Intensity G3	G1	G2	G3	G2/G1 Ratio	G3/G1 Ratio	G2/G3 Ratio
A0A3Q2UCN1	Tyrosine-protein phosphatase non-receptor type OS=Gallus gallus OX=9031 GN=PTPN6 PE=1 SV=1	PTPN6	1.49	1	1	1.0		3379.21			1.0				
A0A3Q2UHM4	Dynamin-1-like protein OS=Gallus gallus OX=9031 GN=DNM1L PE=1 SV=1	DNM1L	17.82	12	12	12.0	11867.2	25866.7	6119.62	0.8118299283615089	1.7695295611389916	0.4186405104994992	2.1796801267358767	0.515675138196036	4.226847418630569
A0A3Q3ACS4	Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Gallus gallus OX=9031 GN=PIK3R1 PE=1 SV=1	PIK3R1	3.04	2	2	0.0	23712.1	13577.6	13027.9	1.413745886131294	0.8095139672798385	0.7767401465888675	0.5726021735738295	0.5494199164139827	1.0421940604395183
A0A3S5ZPN3	Probable ATP-dependent RNA helicase DDX5 OS=Gallus gallus OX=9031 GN=DDX5 PE=1 SV=1	DDX5	22.06	13	12	6.0	19249.0	57589.8	8646.72	0.67551791227333	2.0210370130520348	0.3034450746746349	2.9918333419917915	0.4492035949919475	6.660305873209727
A0A8V0XL48	Prostaglandin reductase 1 OS=Gallus gallus OX=9031 GN=PTGR1 PE=1 SV=1	PTGR1	20.91	6	6	6.0	24959.3	36102.3	32488.2	0.800406842131143	1.1577459278373659	1.0418472300314914	1.4464468154154966	1.3016470814485985	1.1112434668587363
A0A8V0Y9P9	4-trimethylaminobutyraldehyde dehydrogenase OS=Gallus gallus OX=9031 GN=ALDH9A1 PE=1 SV=1	ALDH9A1	14.76	7	7	7.0	108629.0	117654.0	93623.4	1.018694843241648	1.1033289737248144	0.8779761830335372	1.0830809452356185	0.8618637748667483	1.256673011234371
A0A8V0YZN0	Protein-glutamine gamma-glutamyltransferase 2 OS=Gallus gallus OX=9031 GN=TGM2 PE=1 SV=1	TGM2	4.93	3	3	3.0	4887.63	8327.65	7188.39	0.7186398329320167	1.2244341336632087	1.056926033404775	1.7038216886302768	1.4707312132874217	1.1584861144150496
A0A8V0Z1D6	protein deglycase OS=Gallus gallus OX=9031 GN=PARK7 PE=1 SV=1	PARK7	25.37	5	4	0.0	49290.0	38628.3	17806.2	1.3986351318757715	1.096102606302229	0.5052622618219996	0.7836944613511869	0.361253804017042	2.169373588974627
A0A8V0ZG46	Cytosolic purine 5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5C2 PE=3 SV=1	NT5C2	1.26	1	1	0.0	8964.98	6235.38	12248.7	0.9798127877603094	0.6814856319305652	1.3387015803091253	0.6955263703878871	1.3662830257290033	0.5090646354306988
A0A8V0ZSC5	Lysosomal phospholipase A and acyltransferase OS=Gallus gallus OX=9031 GN=PLA2G15 PE=1 SV=1	PLA2G15	29.64	8	8	8.0	118671.0	331808.0	292085.0	0.4794374626294838	1.3405228370887896	1.1800397002817264	2.7960327291419134	2.4613005704847857	1.1359980827498846
A0A8V1AC34	Adenylate kinase isoenzyme 1 OS=Gallus gallus OX=9031 GN=AK1 PE=1 SV=1	AK1	4.46	1	1	0.0	7962.23	5951.23	2703.33	1.4375032722926628	1.074436759446319	0.4880599682610179	0.7474325660022381	0.33951920504682737	2.2014441448139883
A0A8V1AKX1	Fatty acid synthase OS=Gallus gallus OX=9031 GN=FASN PE=1 SV=1	FASN	1.36	3	3	3.0		6520.27	5339.72		1.099540556105022	0.9004594438949779			1.2210883716749195
E1C1L6	Ectonucleoside triphosphate diphosphohydrolase 5 OS=Gallus gallus OX=9031 GN=ENTPD5 PE=3 SV=1	ENTPD5	11.45	5	5	0.0	54957.7	34950.9	46869.8	1.2054030460949972	0.7665881454966572	1.028008808408345	0.6359600201609602	0.8528340887628122	0.7457019232000136
F1NN44	Alkaline phosphatase OS=Gallus gallus OX=9031 GN=ALPL PE=1 SV=3	ALPL	5.39	3	3	3.0	27517.3	26089.3	31909.2	0.9653409077620744	0.9152449021116565	1.119414190126269	0.9481053737103567	1.159605048460423	0.8176105950634927
F1NPA9	DNA-(apurinic or apyrimidinic site) lyase OS=Gallus gallus OX=9031 GN=RPS3 PE=1 SV=2	RPS3	44.44	12	12	5.0	47837.0	147009.0	34820.3	0.6248674707608387	1.920294792923472	0.45483773631568936	3.0731233145891252	0.7278947258398311	4.221933757032535
F1NSM7	Ovocleidin-116 OS=Gallus gallus OX=9031 PE=1 SV=1	--	56.93	48	1	1.0	125684.0	21711.3	56563.9	1.8486638504171424	0.3193476930680254	0.8319884565148324	0.1727451386015722	0.45004853441965564	0.3838366873571306
F1NTQ2	Beta-hexosaminidase OS=Gallus gallus OX=9031 GN=HEXB PE=1 SV=3	HEXB	33.69	16	16	16.0	642885.0	893069.0	1298880.0	0.6803414238717329	0.9451019001465342	1.374556675981733	1.389158247587049	2.0203924496605143	0.6875685205715694
F1NUX4	Serine/threonine-protein kinase TOR OS=Gallus gallus OX=9031 GN=MTOR PE=1 SV=2	MTOR	1.19	2	2	2.0	27851.7	4362.61	2121.14	2.433493663254741	0.3811754323883915	0.18533090435686728	0.1566371173034321	0.07615836735280072	2.0567289287835786
F1P5L0	Sodium-coupled monocarboxylate transporter 1 OS=Gallus gallus OX=9031 GN=SLC5A8 PE=3 SV=2	SLC5A8	4.61	3	3	3.0	121444.0	71342.9	79003.0	1.3404913133269483	0.78747848981879	0.8720301968542612	0.5874551233490333	0.6505302855637166	0.9030403908712327
O12971	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe OS=Gallus gallus OX=9031 GN=LFNG PE=2 SV=1	LFNG	14.6	4	4	4.0	69958.6	31396.9	79268.4	1.1619492215592733	0.521474179219915	1.3165765992208118	0.44879257160663594	1.1330758477156488	0.3960834329947369
O42220	Growth/differentiation factor 8 OS=Gallus gallus OX=9031 GN=MSTN PE=2 SV=1	MSTN	2.93	1	1	1.0	12227.0	24769.4		0.6609832308008347	1.3390167691991655		2.0257953709004664		
O57579	Aminopeptidase Ey OS=Gallus gallus OX=9031 GN=ANPEP PE=1 SV=2	ANPEP	23.25	21	1	1.0		34061.7	13348.0		1.4369084807539385	0.5630915192460615			2.551820497452802
O73755	Gremlin-1 OS=Gallus gallus OX=9031 GN=GREM1 PE=2 SV=1	GREM1	22.83	3	3	2.0	25378.1	29446.3	33255.1	0.8643816097956959	1.0029450666727218	1.1326733235315822	1.1603035688250893	1.3103857262758047	0.8854671914984469
