Protein accession	Gene name	ratio	type
P02460	COL2A1	0.5314654196560312	Down
A0A8V0ZE30	CNOT1	0.5328748108807776	Down
A0A8V0ZIZ5	GGT7	0.4837007677092255	Down
A0A8V1AM71	C5	0.5672459893048128	Down
A0A8V1AM47	SLC13A2	0.5173492788100903	Down
A0A8V0ZEJ3	SH2D6	0.20691869532996596	Down
A0A8V0ZER3	--	0.14872585215231698	Down
A0A8V1ALE0	RSAD1	0.6065413438333545	Down
A0A8V0ZEU9	C11orf16	0.5341004567768021	Down
A0A8V1AL54	GPRC5C	0.6631398128837118	Down
A0A8V1AKQ0	GLOD4	0.5171408722447871	Down
A0A8V0ZF17	VTG3	0.5468913528563811	Down
P11602	LPL	0.3709123413976047	Down
A0A8V0ZF99	WDR72	0.4125342590900786	Down
A0A8V0ZFG7	FBXL15	0.3887356880133807	Down
A0A8V0ZFL9	LOC395991	0.5041129924629936	Down
A0A8V1AKH4	C8G	0.5407512816138909	Down
A0A8V1AJT2	MYDGF	0.55914135218407	Down
A0A8V1AJI2	--	0.4442919283540624	Down
